line_offset,speed,yaw,steer,throttle,reward
-0.011830357142857148,nan,0.0,-0.00302857142857143,39.818285714285715,1.0
-0.023660714285714295,nan,0.0,-0.029788839285714297,38.21266964285714,1.0
-0.03549107142857144,0.2584319129291998,0.0,-0.03295937500000001,38.0224375,1.0
-0.03549107142857144,0.40167079342012585,0.0,-0.009511607142857146,39.42930357142857,1.0
-0.024962797619047628,0.5461636078500578,-3.538294008211049e-05,0.014027232142857149,39.158366071428574,1.0
-0.014434523809523814,0.6906297663675377,-3.538294008211049e-05,0.01657269345238096,39.00563839285714,1.0
-0.00390625,0.8345101577024798,-3.538294008211049e-05,0.01918132440476191,38.849120535714285,1.0
-0.00390625,0.9777121575403271,-3.538294008211049e-05,-0.0018986607142857147,39.88608035714286,1.0
-0.00390625,1.1203978608079341,-3.538294008211049e-05,-0.0019220982142857147,39.88467410714286,1.0
-0.00390625,1.2628119182425508,3.2584980924925764e-06,-0.0019455357142857147,39.883267857142854,1.0
-0.00390625,1.405175837563311,3.2584980924925764e-06,-0.0019689732142857148,39.88186160714286,1.0
-0.00390625,1.5476510400909047,3.2584980924925764e-06,-0.001992410714285715,39.88045535714286,1.0
-0.00390625,1.6903290235444093,3.2584980924925764e-06,-0.002015848214285715,39.879049107142855,1.0
-0.00390625,1.8332415971905358,3.2584980924925764e-06,-0.002039285714285715,39.87764285714286,1.0
-0.004103535353535359,1.9763783555613192,-2.0310144581323732e-08,-0.002507798971861485,39.84953206168831,1.0
-0.004300820707070718,2.119703842882691,-2.0310144581323732e-08,-0.002582925234487749,39.845024485930736,1.0
-0.004498106060606077,2.2631710450659828,-2.0310144581323732e-08,-0.002659235209235225,39.84044588744589,1.0
-0.004498106060606077,2.4067304929196234,-2.0310144581323732e-08,-0.002291653138528143,39.862500811688314,1.0
-0.004498106060606077,2.550335497149845,-2.0310144581323732e-08,-0.00231864177489178,39.86088149350649,1.0
-0.004300820707070718,2.6940333657817153,1.0456794927836572e-05,-0.001900554653679646,39.88596672077922,1.0
-0.004103535353535359,2.837627902597369,1.0456794927836572e-05,-0.0018758545274170186,39.887448728354975,1.0
